feature,importance,importance_type
ast_outlier_flag,0.2931205761785262,built_in
minutes_played,0.1667866827109795,built_in
sufficient_rest_x_minutes_played,0.15895845178993845,built_in
turnover,0.08338513013530986,built_in
fta_per_min,0.03163041405401591,built_in
minutes_played_x_rest_days,0.029888998960558827,built_in
elite_usage,0.029294392564563478,built_in
turnover_per_36min,0.02519889131406864,built_in
fg3a_per_min,0.022545590579232232,built_in
fga_per_min,0.016991601986173326,built_in
elite_minutes,0.012983746194934781,built_in
player_position_G,0.012505648288081088,built_in
fga_position_avg,0.012320266375149866,built_in
pf,0.011617073421622978,built_in
player_position_standardized_Guard,0.011552363266271435,built_in
