feature,importance,importance_type
sufficient_rest_x_minutes_played,0.12631333691484328,built_in
minutes_played_x_rest_days,0.09867994990393779,built_in
fga_per_min,0.0898389610452192,built_in
pf,0.06798740600903885,built_in
fta_per_min,0.056854024186418994,built_in
minutes_played_x_day_of_week,0.05628777834075355,built_in
turnover,0.04366564714934104,built_in
reb_outlier_flag,0.0420230692155346,built_in
blk,0.03567656289072608,built_in
reb_position_avg,0.03307114003244309,built_in
turnover_per_36min,0.031880497339748445,built_in
fg3a_per_min,0.030805715248374988,built_in
minutes_played_x_is_home_game,0.030781422866849747,built_in
ast_position_avg,0.02842647694080066,built_in
blk_per_36min,0.024256024763400233,built_in
