Target,Model,MAE,RMSE,R2,MAPE (%),Rank_R2
PTS,Linear Regression,5.266,8.895,-0.054,7.086212310645147e+16,5.0
PTS,Ridge,2.246,3.221,0.862,2.8929300685635046e+17,2.0
PTS,Elastic Net,2.229,3.397,0.846,2.4424226009724826e+17,3.0
PTS,Random Forest,1.113,1.931,0.95,4.433313589786189e+16,1.0
PTS,Gradient Boosting,5.173,8.866,-0.047,2.0121468491087136e+16,4.0
REB,Linear Regression,1.698,2.956,0.242,8.00535078796874e+16,4.0
REB,Ridge,1.329,1.91,0.684,1.5040197573418304e+17,2.0
REB,Elastic Net,1.335,1.93,0.677,1.46828035876235e+17,3.0
REB,Random Forest,1.046,1.79,0.722,4.159715897398358e+16,1.0
REB,Gradient Boosting,1.624,3.002,0.219,2.9422861507401224e+16,5.0
AST,Linear Regression,0.877,1.302,0.699,1.2682896480118885e+17,3.5
AST,Ridge,0.877,1.302,0.699,1.2683711053096342e+17,3.5
AST,Elastic Net,0.875,1.308,0.696,1.2597002161763485e+17,5.0
AST,Random Forest,0.751,1.28,0.709,7.108264608334896e+16,2.0
AST,Gradient Boosting,0.753,1.272,0.712,7.132800275147755e+16,1.0
