Target,Model,MAE,RMSE,R2,MAPE (%),Rank_R2
PTS,Linear Regression,5.267,8.894,-0.054,7.135801414162856e+16,5.0
PTS,Ridge,2.246,3.221,0.862,2.889991894333814e+17,2.0
PTS,Elastic Net,2.229,3.397,0.846,2.4421231518005856e+17,3.0
PTS,Random Forest,1.135,1.971,0.948,4.512906581707822e+16,1.0
PTS,Gradient Boosting,5.175,8.869,-0.048,2.0311612759959892e+16,4.0
REB,Linear Regression,1.699,2.957,0.242,8.054191823041445e+16,4.0
REB,Ridge,1.329,1.91,0.684,1.5056961811106474e+17,2.0
REB,Elastic Net,1.33,1.928,0.678,1.4539057780019677e+17,3.0
REB,Random Forest,1.044,1.788,0.723,4.1584977682549e+16,1.0
REB,Gradient Boosting,1.627,3.01,0.214,2.9461099396477356e+16,5.0
AST,Linear Regression,0.877,1.301,0.699,1.2722248587176707e+17,3.5
AST,Ridge,0.877,1.301,0.699,1.272310325470765e+17,3.5
AST,Elastic Net,0.875,1.307,0.697,1.2630045153437712e+17,5.0
AST,Random Forest,0.75,1.278,0.71,7.104551208715005e+16,2.0
AST,Gradient Boosting,0.751,1.269,0.714,7.0810107169524984e+16,1.0
